사업장명,소재지전화,소재지면적,소재지전체주소,도로명전체주소,도로명우편번호,좌표정보(x),좌표정보(y),경도,위도,
문경가축병원,,0,경상북도 문경시 문경읍 하리,,,,,,,
일곡동물병원,571-9114,93.97,광주광역시 북구 일곡동 843-5번지,광주광역시 북구 양일로305번길 8 (일곡동),61040,190562.9092,189333.0171,126.88283470,35.21117930,
우리동물병원,,0,광주광역시 북구 임동 5-16,광주광역시 북구 태봉로 37-6 (임동),61244,191120.42,184715.8661,126.83211010,35.21614525,
참좋은 동물병원,062-574-7975,90,광주광역시 북구 양산동 254-123,"광주광역시 북구 하서로 371, 1층 (양산동)",61074,188403.3482,189881.7854,126.88888883,35.19171769,
빛고을 동물의료센터,062) 419-7582,189,광주광역시 북구 우산동 609-3,광주광역시 북구 중문로 74 (우산동),61172,192695.3842,186661.031,126.85345134,35.23037039,
24시 언제나 동물병원,062-571-0011,0,광주광역시 북구 매곡동 370-7번지,광주광역시 북구 하백로5번길 1 (매곡동),61066,189946.299,187637.9188,126.86422517,35.20560145,
유동물병원,526-3575,34,광주광역시 북구 신안동 479-36,광주광역시 북구 서암대로 167 (신안동),,191045.1449,185577.1956,126.84157273,35.21547944,
이든동물병원,062-576-7585,0,광주광역시 북구 삼각동 780-1,광주광역시 북구 설죽로471번길 101-102 (삼각동),61057,190722.9652,189129.9409,126.88060202,35.21261994,
소담동물병원(출장전문),062-574-8276,92.23,광주광역시 북구 지야동 803-11,"광주광역시 북구 하서로 652-15, 2층 (지야동)",61027,189626.3946,192397.1021,126.91649897,35.20276501,
광주동물보호소 부속동물병원,062-571-2808,120.54,광주광역시 북구 본촌동 378-6 동물보호소,"광주광역시 북구 본촌마을길 27, 동물보호소 (본촌동)",61027,189132.5237,191478.4166,126.90641436,35.19830564,
경북대학교 수의과대학 부속동물병원,053-950-6898,0,대구광역시 북구 산격동 1370-1 경북대학교 수의과대학,"대구광역시 북구 대학로 80 (산격동, 경북대학교 수의과대학)",41566,345299.7424,266806.4432,127.74676079,36.60360616,
대구축협동물병원,053-384-9907,4398.84,대구광역시 북구 검단동 700-2,대구광역시 북구 검단북로 154 (검단동),,346441.1275,269593.3256,127.77801326,36.61369255,
강동물병원,325-7579,872.91,대구광역시 북구 관음동 1383-14,대구광역시 북구 칠곡중앙대로 483 (관음동),,339729.1289,272059.6403,127.80495453,36.55302401,
다온동물병원,053-312-7975,70.87,대구광역시 북구 태전동 1113,대구광역시 북구 칠곡중앙대로 189 (태전동),41471,339665.6807,269186.6425,127.77285822,36.55266457,
