사업장명,소재지전화,소재지면적,소재지전체주소,도로명전체주소,도로명우편번호,좌표정보(x),좌표정보(y),위도,경도
모아동물병원,0317332010,0.0,경기도 성남시 수정구 신흥동 6953 산성역포레스티아아파트 서문상가 101호,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 서문상가동 1층 101호 (신흥동)",13260.0,212949.4423,438781.8782,37.45110319023222,127.14713716547355
리브동물의료센터,032-567-2475,354.0,인천광역시 서구 왕길동 641-10 검단KB빌딩,"인천광역시 서구 검단로 455, 105,202호 (왕길동, 검단KB빌딩)",22616.0,169467.1948,455504.6607,37.60135569544539,126.65502871211659
24시 해든동물의료센터 민락점,031-851-7007,536.25,경기도 의정부시 민락동 805,"경기도 의정부시 천보로 68, 201호 (민락동)",11813.0,208228.5207,471445.8621,37.74545365734119,127.09414783282486
내포조은동물병원,041-631-2202,0.0,충청남도 홍성군 홍북읍 신경리 1181 승우빌딩,"충청남도 홍성군 홍북읍 청사로 36, 승우빌딩 2층 203-1호",32265.0,170839.7958,349705.8883,36.64810965096848,126.67469620038217
나온동물병원,031-8019-7897,97.75,경기도 용인시 기흥구 보정동 1207-1 포레스트프라자,"경기도 용인시 기흥구 죽전로 29, 포레스트프라자 2층 3호 (보정동)",16898.0,209865.4006,424312.0133,37.3207653948181,127.11209130936587
베를린 동물치과센터,02-830-1494,0.0,서울특별시 송파구 방이동 180-3 올림픽타워빌,"서울특별시 송파구 백제고분로 506, 4층 (방이동, 올림픽타워빌)",5627.0,210147.6494,445888.0447,37.51516449240252,127.11557003799898
뉴하트동물병원,031-928-6356,91.88,경기도 의정부시 산곡동 690-1 센타프라자,"경기도 의정부시 서광로 135, 센타프라자 2층 201-1호 (산곡동)",11800.0,209708.2592,469615.3921,37.72894745508802,127.11091281724742
동해삼척태백축산업협동조합 동물병원,"573-5031,3",3848.0,강원특별자치도 삼척시 남양동 329-12,강원특별자치도 삼척시 중앙로 217 (남양동),25920.0,391750.1725,440027.1551,37.4425618644821,129.1674731630941
두타동물병원,574-0775,36.54,강원특별자치도 삼척시 남양동 18-16 8통4반,강원특별자치도 삼척시 중앙로 245-2 (남양동),25921.0,391763.2055,440328.1322,37.44526905082841,129.1676984879444
삼척동물병원,574-0075,0.0,강원특별자치도 삼척시 정상동 241-3,강원특별자치도 삼척시 오십천로 558-1 (정상동),25928.0,392633.2618,439104.5874,37.43407222380487,129.17720449776328
라온동물병원,033-943-9949,153.01,강원특별자치도 양양군 양양읍 구교리 192-3,강원특별자치도 양양군 양양읍 성안길 27,25023.0,341943.122,509562.1999,38.07776900851289,128.61849396775563
홍현관동물병원,552-9117,105.15,강원특별자치도 태백시 황지동 80-1,강원특별자치도 태백시 황지로 80 (황지동),26021.0,376853.2498,408977.6888,37.16593129965738,128.99185733644399
태백동물병원,553-3622,230.0,강원특별자치도 태백시 황지동 240-8,강원특별자치도 태백시 번영로 212 (황지동),26023.0,376264.2782,408570.008,37.162371253406434,128.9851341768557
현대가축병원,033-563-0739,30.0,강원특별자치도 정선군 정선읍 봉양리 209-10 3통1반,강원특별자치도 정선군 정선읍 정선로 1330,26131.0,347106.0757,432096.9794,37.37930760035137,128.66166248536587
다나동물병원,033-563-6563,45.9,강원특별자치도 정선군 정선읍 봉양리 321,강원특별자치도 정선군 정선읍 비봉로 46,26130.0,347229.2195,432286.1406,37.38099173590526,128.66308987716482
인제축산업협동조합 동물병원,461-2801,40.02,강원특별자치도 인제군 인제읍 덕산리 710-1 인제축협,"강원특별자치도 인제군 인제읍 덕산로 64, 인제축협",24627.0,304071.6188,509471.4008,38.08209660663285,128.18696373975865
인제종합동물병원,033-461-3960,66.0,강원특별자치도 인제군 인제읍 남북리 810-5,강원특별자치도 인제군 인제읍 비봉로44번길 70 (행복한집 102호),24624.0,302453.4119,507212.6568,38.061936134684515,128.1682001724721
합강동물병원,033-463-9713,77.1,강원특별자치도 인제군 인제읍 상동리 30-7,강원특별자치도 인제군 인제읍 인제로 227,24630.0,303045.9469,508194.8034,38.070715350195215,128.17509189640006
속초동물의료센터,033-638-0075,82.58,강원특별자치도 속초시 교동 741-5,강원특별자치도 속초시 수복로 69 (교동),24847.0,338097.7441,522950.0024,38.19892884927892,128.57727507699295
속초삼성동물메디컬센터,636-0305,363.63,강원특별자치도 속초시 교동 1022-12,"강원특별자치도 속초시 엑스포로2길 22, 속초삼성동물병원메디컬센터 (교동)",24854.0,338384.8417,522589.0288,38.195634081545926,128.58048116207146
나의 동물메디컬 센터,033-636-7179,311.0,강원특별자치도 속초시 조양동 1497-5,강원특별자치도 속초시 동해대로 4163 (조양동),24874.0,338297.6868,522062.0926,38.19090213162341,128.57938420759334
대명동물병원,673-3185,0.0,강원특별자치도 양양군 양양읍 남문리 167-4,강원특별자치도 양양군 양양읍 남문로 19,25029.0,342099.5388,509105.1832,38.07362880937061,128.62018524834926
금강동물병원,033-673-8275,55.05,강원특별자치도 양양군 양양읍 연창리 203-15,"강원특별자치도 양양군 양양읍 관아길 20, 102호",25021.0,342692.1775,509557.2649,38.07760682609311,128.6270267351972
동해동물병원,033-532-7886,70.0,강원특별자치도 동해시 천곡동 886,강원특별자치도 동해시 중앙로 214 (천곡동),25770.0,386982.4546,448511.8649,37.51993189049187,129.11578648288975
삼성동물병원,033-533-7522,143.41,강원특별자치도 동해시 천곡동 979-4,"강원특별자치도 동해시 중앙로 158 (천곡동, 영동상사)",25777.0,387233.5443,448044.9223,37.51567677057308,129.1185060181328
쥬쥬동물병원,033-522-3313,43.23,강원특별자치도 동해시 효가동 162-53,"강원특별자치도 동해시 지양길 6, 1층 (효가동)",25802.0,386381.7281,445507.4419,37.49300185426959,129.10823513535144
필동물병원,033-534-7178,52.89,강원특별자치도 동해시 천곡동 1077-5 삼양타워1차,"강원특별자치도 동해시 한섬로 61-1, 108호 (천곡동, 삼양타워1차)",25761.0,386543.4973,448573.8005,37.520578303315375,129.11084013147203
더에스동물병원,051-913-7582,190.78,부산광역시 수영구 남천동 29-19 목원빌딩,"부산광역시 수영구 수영로464번길 6, 목원빌딩 3층 302호 (남천동)",48314.0,392264.1472,185152.2796,35.14717230754243,129.11054311095978
본 동물 건강검진영상센터,053-633-7585,395.2,대구광역시 달서구 상인동 54-5,"대구광역시 달서구 월곡로 332, 2층 (상인동)",42749.0,338562.8191,259125.3959,35.82248245152283,128.53409845715177
한국고양이혈액센터,02-544-7975,229.77,서울특별시 양천구 신월동 456-8,"서울특별시 양천구 중앙로 349, 2층 (신월동)",7933.0,186583.8534,447197.7976,37.5269219114283,126.84901235694646
가이드 동물의료센터,031-360-7555,575.29,경기도 군포시 금정동 726-1 디 싸이트(D Site),"경기도 군포시 금정로 47, 디 싸이트(D Site) (금정동)",15813.0,194643.1869,429272.4453,37.36549585818362,126.94031862555784
훈동물병원,051-702-0100,106.96,부산광역시 해운대구 좌동 1289-2 거성빌딩,"부산광역시 해운대구 좌동순환로 174, 거성빌딩 3층 301호 (좌동)",48078.0,398071.7062,188659.0565,35.17763231929567,129.17507038929486
두카메디컬센터,031-422-7534,120.76,경기도 안양시 동안구 관양동 1802 평촌 오비즈타워 217호,"경기도 안양시 동안구 벌말로 126, 평촌 오비즈타워 2층 217호 (관양동)",14057.0,197294.6536,433065.3427,37.39968219274338,126.9702359191827
윤동물병원,031-563-8875,59.4,경기도 남양주시 다산동 6169,"경기도 남양주시 다산중앙로82번안길 118, 111-1,112호 (다산동)",12249.0,214462.5937,456646.9465,37.61204341600923,127.16458803502546
뉴로동물암센터,051-711-8251,237.6,부산광역시 연제구 연산동 702-10 진도사옥,"부산광역시 연제구 중앙대로 1084, 진도사옥 1층 (연산동)",47596.0,389473.2815,189228.0611,35.184414325168134,129.0808713658409
왕십리동물병원,02-2138-1888,0.0,서울특별시 성동구 도선동 69 성동삼성쉐르빌 101동 225호,"서울특별시 성동구 무학로6길 50, 101동 225호 (도선동, 성동삼성쉐르빌)",4709.0,203017.0215,451346.2811,37.56439313278848,127.03493635835326
가디언 동물의료센터,02-442-8287,0.0,서울특별시 서초구 방배동 907-4 석교빌딩,"서울특별시 서초구 방배로 110, 석교빌딩 2층 201호 (방배동)",6665.0,199608.7819,442434.7169,37.48410499888474,126.9963653929314
덕계 원 동물병원,031-928-4815,126.0,경기도 양주시 덕계동 928-7,"경기도 양주시 덕계로 132-12, 제이타워 2층 2호 (덕계동)",11444.0,204818.1987,479562.8026,37.81860768922428,127.05550711897749
체크업동물병원,02-535-4005,119.0,서울특별시 서초구 방배동 782-3,"서울특별시 서초구 동작대로 190, 승정빌딩 2층 (방배동)",6559.0,198436.4254,443476.8031,37.49349287875584,126.98310787101352
우리동물병원,055-817-7582,75.4,경상남도 의령군 의령읍 중동리 434-6 101호,"경상남도 의령군 의령읍 의병로22길 21-1, 101호",52148.0,314812.1438,202794.5676,35.3179646337721,128.26335875411792
씽씽 동물의료센터,031-8088-7077,191.0,경기도 양주시 덕계동 883-1,"경기도 양주시 회천중앙로 225, 2층 4,5호 (덕계동)",11444.0,204500.4875,479521.655,37.81823856835413,127.05189852736625
김포시 반려동물 공공진료센터,"031-5186-1941,2",0.0,경기도 김포시 운양동 1307-2,"경기도 김포시 김포한강1로 242, 운양역 환승센터 공영주차장 A동 1층 (운양동)",10078.0,172070.5798,461263.1183,37.653320260343996,126.68428905193188
펫가든동물병원,031-422-4475,0.0,경기도 의왕시 내손동 743 롯데마트,"경기도 의왕시 계원대학로 7, 롯데마트 2층 (내손동)",16036.0,197598.214,430907.7699,37.3802429833396,126.9736714524911
